instruction,input,output,responses
Answer this question truthfully,What is (are) Encephalitis lethargica ?,"Encephalitis lethargica is a disease characterized by high fever, headache, double vision, delayed physical and mental response, extreme tiredness (lethargy), and sometimes coma. Patients may also experience abnormal eye movements, upper body weakness, muscule pain, tremors, neck rigidity, and behavioral changes including psychosis. A world-wide epidemic of encephalitis lethargica occurred from 1917 to 1928. The cause of this condition is unknown, and treatment depends on a person's symptoms. Levodopa and other antiparkinson drugs often produce dramatic responses.","Encephalitis lethargica is a rare disease that can lead to severe and often permanent damage to brain function. It can also cause paralysis, and even coma or death. The most common symptoms are headache, fatigue, double vision, and lethargy (extreme tiredness). These symptoms can be treated with medicine, but they can be very painful and disabling. There is no cure, so people with encephalitis lethargica usually have to take medicine for the rest of their lives to keep the symptoms from coming back."
Answer this question truthfully,What is (are) Charcot-Marie-Tooth disease type 1E ?,"Charcot-Marie-Tooth disease type 1E (CMT1E) is a form of Charcot-Marie-Tooth disease, which is a group of rare conditions that affect the peripheral nerves. Signs and symptoms of CMT1E generally become apparent between age 5 and 25 years, although the age of onset and disease severity can vary significantly from person to person. In general, CMT1E is associated with the typical features of Charcot-Marie-Tooth disease type 1 (progressive weakness of the feet and/or ankles; foot drop; atrophy of muscles below the knee; absent tendon reflexes of upper and lower extremities; and a decreased sensitivity to touch, heat, and cold in the feet and/or lower legs) in addition to hearing loss. CMT1E is caused by certain changes (mutations) in the PMP22 gene and is inherited in an autosomal dominant manner. Treatment is based on the signs and symptoms present in each person.","Charcot-Marie-Tooth disease type 1E is a genetic disorder known as an inherited form of neuropathy. The disease is characterized by progressive weakness and wasting of the muscles in the arms and legs, loss of sensation in the feet, and a reduced ability to control the foot. The cause of the disease is a defect in the gene that provides instructions for making a protein called GIC. The specific function of the GIC protein is not yet known, but it appears to play a role in nerve cells (neurons) of the nervous system. Mutations in the GIC gene that cause Charcot-Marie-Tooth disease type 1E lead to the production of a shortened, nonfunctional protein. The abnormal GIC protein prevents neurons from sending signals in the correct direction, leading to the signs and symptoms of the disorder. The GIC protein is also required for the normal survival of embryonic neurons, which likely explains the loss of neurons early in development in children with this condition."
Answer this question truthfully,What is (are) Shock ?,"Shock happens when not enough blood and oxygen can get to your organs and tissues. It causes very low blood pressure and may be life threatening. It often happens along with a serious injury.     There are several kinds of shock. Hypovolemic shock happens when you lose a lot of blood or fluids. Causes include internal or external bleeding, dehydration, burns, and severe vomiting and/or diarrhea. Septic shock is caused by infections in the bloodstream. A severe allergic reaction can cause anaphylactic shock. An insect bite or sting might cause it. Cardiogenic shock happens when the heart cannot pump blood effectively. This may happen after a heart attack. Neurogenic shock is caused by damage to the nervous system.    Symptoms of shock include       - Confusion or lack of alertness    - Loss of consciousness    - Sudden and ongoing rapid heartbeat    - Sweating    - Pale skin    - A weak pulse    - Rapid breathing    - Decreased or no urine output    - Cool hands and feet       Shock is a life-threatening medical emergency and it is important to get help right away. Treatment of shock depends on the cause.    NIH: National Heart, Lung, and Blood Institute","Shock is a condition in which there isn't enough blood in the body for the heart to effectively pump it to the organs and tissues. It's a serious health condition that can be life-threatening and can have several causes, including cardiogenic shock, hypovolemic shock, and vasodilatory shock."
Answer this question truthfully,What is (are) Disseminated peritoneal leiomyomatosis ?,"Disseminated peritoneal leiomyomatosis (DPL) is a rare condition which is characterized by nodules or small lumps of smooth muscle cells located on the peritoneum (lining of the abdominal wall) and abdominal organs.The condition is usually benign (noncancerous) but in rare cases has become cancerous. Although it can be seen in post-menopausal women and very rarely in men, DPL occurs most often in women of childbearing age. Most women with DPL are pregnant, taking the birth control pill, or have uterine leioyomas or estrogen-secreting tumors. Some people with DPL have no signs or symptoms of the condition. When present, symptoms may include abdominal and pelvic pain; rectal or vaginal bleeding; and less commonly constipation. The cause of DPL is unknown but may be linked to hormonal and genetic factors. Some cases of DPL resolve when hormone levels are returned to normal. However, surgery may be suggested based on the size and location of the tumor.",Disseminated peritoneal leiomyomatosis (DPL) is a rare condition characterized by nodules or small lumps of smooth muscle cells located on the peritoneum and abdominal organs.
Answer this question truthfully,What is (are) microvillus inclusion disease ?,"Microvillus inclusion disease is a condition characterized by chronic, watery, life-threatening diarrhea typically beginning in the first hours to days of life. Rarely, the diarrhea starts around age 3 or 4 months. Food intake increases the frequency of diarrhea.  Microvillus inclusion disease prevents the absorption of nutrients from food during digestion, resulting in malnutrition and dehydration. Affected infants often have difficulty gaining weight and growing at the expected rate (failure to thrive), developmental delay, liver and kidney problems, and thinning of the bones (osteoporosis). Some affected individuals develop cholestasis, which is a reduced ability to produce and release a digestive fluid called bile. Cholestasis leads to irreversible liver disease (cirrhosis).  In individuals with microvillus inclusion disease, lifelong nutritional support is needed and given through intravenous feedings (parenteral nutrition). Even with nutritional supplementation, most children with microvillus inclusion disease do not survive beyond childhood.  A variant of microvillus inclusion disease with milder diarrhea often does not require full-time parenteral nutrition. Individuals with the variant type frequently live past childhood.","Microvillus inclusion disease (MVID) is a rare genetic disorder that affects the small intestine. It is a condition characterized by chronic, watery, life-threatening diarrhea beginning in the first hours to days of life. Diarrhea typically starts in the neonatal period, often within the first 3 days after birth, and can lead to malnutrition, dehydration, and failure to thrive. The disorder is caused by mutations in the INAI gene, which encodes the protein INAI267, that are thought to lead to the degradation of tight junction proteins, thereby causing impaired intestinal barrier function.  There is no cure for MVID, and the treatment is supportive.  Infants with MVID have difficulty absorbing nutrients, which can be managed by giving them high-calorie, high-fat and low-carbohydrate feedings through a feeding tube. Infants with MVID may require intravenous fluids to prevent dehydration.  Because of the severe malabsorption, infants with MVID are at risk for severe nutritional deficiencies and may require intravenous nutrition to prevent these.  Antibiotics may be required to treat any infections related to the diarrhea.  Management of this disorder requires a specialized diet and may also require the use of immunoglobulins to help the"
Answer this question truthfully,What is (are) Clear cell renal cell carcinoma ?,"Clear cell renal cell carcinoma is a cancer of the kidney.  The name ""clear cell"" refers to the appearance of the cancer cells when viewed with a microscope.[5258]  Clear cell renal cell carcinoma occurs when cells in the kidney quickly increase in number, creating a lump (mass).  Though the exact cause of clear cell renal cell carcinoma is unknown, smoking, the excessive use of certain medications, and several genetic predisposition conditions (such as von Hippel Lindau syndrome) may contribute to the development of this type of cancer.  Treatment often begins with surgery to remove as much of the cancer as possible, and may be followed by radiation therapy, chemotherapy, biological therapy, or targeted therapy.","Clear cell renal cell carcinoma is a type of cancer that affects the kidneys. It begins when certain cells grow rapidly, forming a lump. We don't know exactly why this happens, but it is linked to smoking."
Answer this question truthfully,What is (are) genitopatellar syndrome ?,"Genitopatellar syndrome is a rare condition characterized by genital abnormalities, missing or underdeveloped kneecaps (patellae), intellectual disability, and abnormalities affecting other parts of the body.  The genital abnormalities in affected males typically include undescended testes (cryptorchidism) and underdevelopment of the scrotum. Affected females can have an enlarged clitoris (clitoromegaly) and small labia.  Missing or underdeveloped patellae is the most common skeletal abnormality associated with genitopatellar syndrome. Affected individuals may have additional skeletal problems, including joint deformities (contractures) involving the hips and knees or an inward- and upward-turning foot called a clubfoot. Bone abnormalities of the spine, ribs, collarbone (clavicle), and pelvis have also been reported.  Genitopatellar syndrome is also associated with delayed development and intellectual disability, which are often severe. Affected individuals may have an usually small head (microcephaly) and structural brain abnormalities, including underdeveloped or absent tissue connecting the left and right halves of the brain (agenesis of the corpus callosum).  People with genitopatellar syndrome may have distinctive facial features such as prominent cheeks and eyes, a nose with a rounded tip or a broad bridge, an unusually small chin (micrognathia) or a chin that protrudes (prognathism), and a narrowing of the head at the temples. Many affected infants have weak muscle tone (hypotonia) that leads to breathing and feeding difficulties. The condition can also be associated with abnormalities of the heart, kidneys, and teeth.","Genitopatellar syndrome is a rare genetic disorder characterized by various physical abnormalities and intellectual disabilities. It is associated with delayed development, microcephaly (small head size), structural brain abnormalities like agenesis of the corpus callosum (absent or underdeveloped tissue connecting the brain's left and right halves), distinctive facial features, such as prominent cheeks and eyes, and a nose with a rounded tip or a broad bridge."
Answer this question truthfully,What is (are) Juvenile Arthritis ?,"Juvenile arthritis (JA) is arthritis that happens in children. It causes joint swelling, pain, stiffness, and loss of motion. It can affect any joint, but is more common in the knees, hands, and feet. In some cases it can affect internal organs as well.    The most common type of JA that children get is juvenile idiopathic arthritis. There are several other forms of arthritis affecting children.    One early sign of JA may be limping in the morning. Symptoms can come and go. Some children have just one or two flare-ups. Others have symptoms that never go away. JA can cause growth problems and eye inflammation in some children.    No one knows exactly what causes JA. Most types are autoimmune disorders. This means that your immune system, which normally helps your body fight infection, attacks your body's own tissues.    JA can be hard to diagnose. Your health care provider may do a physical exam, lab tests, and x-rays. A team of providers usually treats JA. Medicines and physical therapy can help maintain movement and reduce swelling and pain. They may also help prevent and treat complications.    NIH: National Institute of Arthritis and Musculoskeletal and Skin Diseases","Juvenile Arthritis is a group of conditions involving joint inflammation (arthritis) that first appears before the age of 16, and it is an autoimmune disorder where the immune system attacks the body's own tissues and organs, in this case the joints."
Answer this question truthfully,What is (are) Klippel-Trenaunay Syndrome (KTS) ?,"Klippel-Trenaunay syndrome (KTS) is a rare congenital malformation involving blood and lymph vessels and abnormal growth of soft and bone tissue. Typical symptoms include hemangiomas (abnormal benign growths on the skin consisting of masses of blood vessels) and varicose veins. Fused toes or fingers, or extra toes or fingers, may be present. In some cases, internal bleeding may occur as a result of blood vessel malformations involving organs such as the stomach, rectum, vagina, liver, spleen, bladder, kidneys, lungs, or heart. Individuals are also at risk for blood clots. The cause of the disorder is unknown. A similar port-wine stain disorder in which individuals have vascular anomalies on the face as well as in the brain is Sturge-Weber syndrome. These individuals may experience seizures and mental deficiency. In some cases, features of the Klippel-Trenaunay syndrome and Sturge-Weber syndrome coincide. Another overlapping condition is the Parkes-Weber syndrome, which is characterized by abnormal connectivity between the arterial and venous system (arteriovenous fistulas).",An answer to this question is: Klippel-Trenaunay syndrome (KTS) is a rare congenital malformation involving blood and lymph vessels and abnormal growth of soft and bone tissue
Answer this question truthfully,What is (are) familial pityriasis rubra pilaris ?,"Familial pityriasis rubra pilaris is a rare genetic condition that affects the skin. The name of the condition reflects its major features: The term ""pityriasis"" refers to scaling; ""rubra"" means redness; and ""pilaris"" suggests the involvement of hair follicles in this disorder. Affected individuals have a salmon-colored skin rash covered in fine scales. This rash occurs in patches all over the body, with distinct areas of unaffected skin between the patches. Affected individuals also develop bumps called follicular keratoses that occur around hair follicles. The skin on the palms of the hands and soles of the feet often becomes thick, hard, and callused, a condition known as palmoplantar keratoderma.  Researchers have distinguished six types of pityriasis rubra pilaris based on the features of the disorder and the age at which signs and symptoms appear. The familial form is usually considered part of type V, which is also known as the atypical juvenile type. People with familial pityriasis rubra pilaris typically have skin abnormalities from birth or early childhood, and these skin problems persist throughout life.",The familial types of pityriasis rubra pilaris seem to be inherited in an autosomal dominant fashion.
Answer this question truthfully,What is (are) Frostbite ?,"Frostbite is an injury to the body that is caused by freezing. It most often affects the nose, ears, cheeks, chin, fingers, or toes. Frostbite can permanently damage the body, and severe cases can lead to amputation.    Signs of frostbite include       - A white or grayish-yellow skin area    - Skin that feels unusually firm or waxy    - Numbness       If you have symptoms of frostbite, seek medical care. But if immediate medical care isn't available, here are steps to take:       - Get into a warm room as soon as possible.    - Unless absolutely necessary, do not walk on frostbitten feet or toes. Walking increases the damage.    - Put the affected area in warm - not hot - water.    - You can also warm the affected area using body heat. For example, use your armpit to warm frostbitten fingers.     - Don't rub the frostbitten area with snow or massage it at all. This can cause more damage.     - Don't use a heating pad, heat lamp, or the heat of a stove, fireplace, or radiator for warming. Since frostbite makes an area numb, you could burn it.       Centers for Disease Control and Prevention",Frostbite is an injury to the body that is caused by freezing.
Answer this question truthfully,What is (are) oculodentodigital dysplasia ?,"Oculodentodigital dysplasia is a condition that affects many parts of the body, particularly the eyes (oculo-), teeth (dento-), and fingers (digital). Common features in people with this condition are small eyes (microphthalmia) and other eye abnormalities that can lead to vision loss. Affected individuals also frequently have tooth abnormalities, such as small or missing teeth, weak enamel, multiple cavities, and early tooth loss. Other common features of this condition include a thin nose and webbing of the skin (syndactyly) between the fourth and fifth fingers.  Less common features of oculodentodigital dysplasia include sparse hair growth (hypotrichosis), brittle nails, an unusual curvature of the fingers (camptodactyly), syndactyly of the toes, small head size (microcephaly), and an opening in the roof of the mouth (cleft palate). Some affected individuals experience neurological problems such as a lack of bladder or bowel control, difficulty coordinating movements (ataxia), abnormal muscle stiffness (spasticity), hearing loss, and impaired speech (dysarthria). A few people with oculodentodigital dysplasia also have a skin condition called palmoplantar keratoderma. Palmoplantar keratoderma causes the skin on the palms and the soles of the feet to become thick, scaly, and calloused.  Some features of oculodentodigital dysplasia are evident at birth, while others become apparent with age.","Oculodentodigital dysplasia is a rare genetic disorder that affects the development of various systems in the body, including the eye, teeth, and digits (hands and feet).Oculodentodigital dysplasia is characterized by the following features and can be divided into three main aspects:1. Ocular (eye) findings:Ocular abnormalities, including microophthalmia (small eyes with underdeveloped structures), cataracts, retinal defects, or congenital glaucoma (increased fluid accumulation in the eye), are commonly observed in individuals with oculodentodigital dysplasia.2. Dental (teeth) findings:Dental abnormalities, such as delayed or absent tooth eruption, small teeth (microdontia), peg-shaped teeth, or missing teeth are also associated with this condition. In some cases, affected individuals may have abnormalities in tooth shape, size, or number due to reduced tooth growth.3. Digital (hands and feet) findings:Digital anomalies, including underdeveloped or short digits, syndactyly (partial or complete fusion of fingers or toes), flexion contractures (decreased movement of the joints due to tightness of the tissues surrounding the joints), and camptodact"
