instruction,input,output,answers
Answer this question truthfully,What is (are) Encephalitis lethargica ?,"Encephalitis lethargica is a disease characterized by high fever, headache, double vision, delayed physical and mental response, extreme tiredness (lethargy), and sometimes coma. Patients may also experience abnormal eye movements, upper body weakness, muscule pain, tremors, neck rigidity, and behavioral changes including psychosis. A world-wide epidemic of encephalitis lethargica occurred from 1917 to 1928. The cause of this condition is unknown, and treatment depends on a person's symptoms. Levodopa and other antiparkinson drugs often produce dramatic responses.","Encephalitis lethargica is a rare neurological disorder that causes inflammation of the brain. It is characterized by a sudden onset of fever, headache, and confusion, followed by a period of lethargy and sleepiness. Other symptoms may include muscle weakness, double vision, and difficulty swallowing. The cause of encephalitis lethargica is unknown, but it is thought to be caused by a viral infection. Treatment is supportive and may include medications to reduce inflammation and fever."
Answer this question truthfully,What is (are) Charcot-Marie-Tooth disease type 1E ?,"Charcot-Marie-Tooth disease type 1E (CMT1E) is a form of Charcot-Marie-Tooth disease, which is a group of rare conditions that affect the peripheral nerves. Signs and symptoms of CMT1E generally become apparent between age 5 and 25 years, although the age of onset and disease severity can vary significantly from person to person. In general, CMT1E is associated with the typical features of Charcot-Marie-Tooth disease type 1 (progressive weakness of the feet and/or ankles; foot drop; atrophy of muscles below the knee; absent tendon reflexes of upper and lower extremities; and a decreased sensitivity to touch, heat, and cold in the feet and/or lower legs) in addition to hearing loss. CMT1E is caused by certain changes (mutations) in the PMP22 gene and is inherited in an autosomal dominant manner. Treatment is based on the signs and symptoms present in each person.","Charcot-Marie-Tooth disease type 1E (CMT1E) is a rare genetic disorder that affects the peripheral nerves. It is characterized by progressive weakness and wasting of the muscles in the feet and legs, which can lead to difficulty walking and standing. CMT1E is caused by mutations in the EGR2 gene, which is involved in the development and maintenance of the peripheral nervous system. The symptoms of CMT1E typically begin in childhood or adolescence and worsen over time. Treatment is focused on managing symptoms and improving quality of life."
Answer this question truthfully,What is (are) Shock ?,"Shock happens when not enough blood and oxygen can get to your organs and tissues. It causes very low blood pressure and may be life threatening. It often happens along with a serious injury.     There are several kinds of shock. Hypovolemic shock happens when you lose a lot of blood or fluids. Causes include internal or external bleeding, dehydration, burns, and severe vomiting and/or diarrhea. Septic shock is caused by infections in the bloodstream. A severe allergic reaction can cause anaphylactic shock. An insect bite or sting might cause it. Cardiogenic shock happens when the heart cannot pump blood effectively. This may happen after a heart attack. Neurogenic shock is caused by damage to the nervous system.    Symptoms of shock include       - Confusion or lack of alertness    - Loss of consciousness    - Sudden and ongoing rapid heartbeat    - Sweating    - Pale skin    - A weak pulse    - Rapid breathing    - Decreased or no urine output    - Cool hands and feet       Shock is a life-threatening medical emergency and it is important to get help right away. Treatment of shock depends on the cause.    NIH: National Heart, Lung, and Blood Institute","Shock is a life-threatening condition that occurs when the body is not getting enough blood flow. Without proper blood flow, the organs do not get enough oxygen. Shock can be caused by severe blood loss, severe infection, severe allergic reaction, severe burns, or severe heart attack. Shock can also be caused by severe dehydration, severe heart failure, or severe lung disease. Shock can be caused by a number of other conditions. Shock can be caused by a number of other conditions. Shock can be caused by a number of other conditions. Shock can be caused by a number of other conditions. Shock can be caused by a number of other conditions. Shock can be caused by a number of other conditions. Shock can be caused by a number of other conditions. Shock can be caused by a number of other conditions. Shock can be caused by a number of other conditions. Shock can be caused by a number of other conditions. Shock can be caused by a number of other conditions. Shock can be caused by a number of other conditions. Shock can be caused by a number of other conditions. Shock can be caused by a number of other conditions. Shock can be caused by a number of other conditions. Shock can be caused by a number of other conditions. Shock can be caused by a"
Answer this question truthfully,What is (are) Disseminated peritoneal leiomyomatosis ?,"Disseminated peritoneal leiomyomatosis (DPL) is a rare condition which is characterized by nodules or small lumps of smooth muscle cells located on the peritoneum (lining of the abdominal wall) and abdominal organs.The condition is usually benign (noncancerous) but in rare cases has become cancerous. Although it can be seen in post-menopausal women and very rarely in men, DPL occurs most often in women of childbearing age. Most women with DPL are pregnant, taking the birth control pill, or have uterine leioyomas or estrogen-secreting tumors. Some people with DPL have no signs or symptoms of the condition. When present, symptoms may include abdominal and pelvic pain; rectal or vaginal bleeding; and less commonly constipation. The cause of DPL is unknown but may be linked to hormonal and genetic factors. Some cases of DPL resolve when hormone levels are returned to normal. However, surgery may be suggested based on the size and location of the tumor.","Disseminated peritoneal leiomyomatosis (DPL) is a rare condition in which leiomyomas (benign tumors) of the uterus spread to the peritoneum (the lining of the abdominal cavity). The condition is usually found in women of reproductive age, and it is often associated with a history of uterine fibroids. The symptoms of DPL can include abdominal pain, bloating, and difficulty eating. In some cases, the condition can cause infertility. Treatment for DPL typically involves surgery to remove the leiomyomas."
Answer this question truthfully,What is (are) microvillus inclusion disease ?,"Microvillus inclusion disease is a condition characterized by chronic, watery, life-threatening diarrhea typically beginning in the first hours to days of life. Rarely, the diarrhea starts around age 3 or 4 months. Food intake increases the frequency of diarrhea.  Microvillus inclusion disease prevents the absorption of nutrients from food during digestion, resulting in malnutrition and dehydration. Affected infants often have difficulty gaining weight and growing at the expected rate (failure to thrive), developmental delay, liver and kidney problems, and thinning of the bones (osteoporosis). Some affected individuals develop cholestasis, which is a reduced ability to produce and release a digestive fluid called bile. Cholestasis leads to irreversible liver disease (cirrhosis).  In individuals with microvillus inclusion disease, lifelong nutritional support is needed and given through intravenous feedings (parenteral nutrition). Even with nutritional supplementation, most children with microvillus inclusion disease do not survive beyond childhood.  A variant of microvillus inclusion disease with milder diarrhea often does not require full-time parenteral nutrition. Individuals with the variant type frequently live past childhood.","Microvillus inclusion disease is a rare genetic disorder that affects the small intestine. It is characterized by the presence of abnormal inclusions in the microvilli of the small intestine, which are finger-like projections that help absorb nutrients from food. These inclusions are made up of proteins and other substances that are normally found in the microvilli. The disease is caused by mutations in the MYO5B gene, which provides instructions for making a protein called myosin-Vb. This protein is involved in the movement of substances within the cell, including the movement of proteins and other substances into the microvilli. Mutations in the MYO5B gene disrupt the normal function of myosin-Vb, leading to the accumulation of abnormal inclusions in the microvilli. Microvillus inclusion disease can cause a variety of symptoms, including diarrhea, weight loss, and failure to thrive in infants. It can also lead to malabsorption of nutrients, which can cause growth problems and other health issues. Treatment for microvillus inclusion disease typically involves a combination of dietary changes, medications, and nutritional supplements to help manage symptoms and improve absorption of nutrients."
Answer this question truthfully,What is (are) Clear cell renal cell carcinoma ?,"Clear cell renal cell carcinoma is a cancer of the kidney.  The name ""clear cell"" refers to the appearance of the cancer cells when viewed with a microscope.[5258]  Clear cell renal cell carcinoma occurs when cells in the kidney quickly increase in number, creating a lump (mass).  Though the exact cause of clear cell renal cell carcinoma is unknown, smoking, the excessive use of certain medications, and several genetic predisposition conditions (such as von Hippel Lindau syndrome) may contribute to the development of this type of cancer.  Treatment often begins with surgery to remove as much of the cancer as possible, and may be followed by radiation therapy, chemotherapy, biological therapy, or targeted therapy.","Clear cell renal cell carcinoma is a type of kidney cancer that is characterized by the presence of clear cells in the tumor. These cells are filled with fat and have a clear appearance under a microscope. Clear cell renal cell carcinoma is the most common type of kidney cancer and accounts for about 75% of all cases. It is more common in men than in women and is more likely to occur in people who are overweight or obese. The cause of clear cell renal cell carcinoma is not fully understood, but it is thought to be related to genetic mutations and environmental factors. Treatment options for clear cell renal cell carcinoma include surgery, radiation therapy, and chemotherapy."
Answer this question truthfully,What is (are) genitopatellar syndrome ?,"Genitopatellar syndrome is a rare condition characterized by genital abnormalities, missing or underdeveloped kneecaps (patellae), intellectual disability, and abnormalities affecting other parts of the body.  The genital abnormalities in affected males typically include undescended testes (cryptorchidism) and underdevelopment of the scrotum. Affected females can have an enlarged clitoris (clitoromegaly) and small labia.  Missing or underdeveloped patellae is the most common skeletal abnormality associated with genitopatellar syndrome. Affected individuals may have additional skeletal problems, including joint deformities (contractures) involving the hips and knees or an inward- and upward-turning foot called a clubfoot. Bone abnormalities of the spine, ribs, collarbone (clavicle), and pelvis have also been reported.  Genitopatellar syndrome is also associated with delayed development and intellectual disability, which are often severe. Affected individuals may have an usually small head (microcephaly) and structural brain abnormalities, including underdeveloped or absent tissue connecting the left and right halves of the brain (agenesis of the corpus callosum).  People with genitopatellar syndrome may have distinctive facial features such as prominent cheeks and eyes, a nose with a rounded tip or a broad bridge, an unusually small chin (micrognathia) or a chin that protrudes (prognathism), and a narrowing of the head at the temples. Many affected infants have weak muscle tone (hypotonia) that leads to breathing and feeding difficulties. The condition can also be associated with abnormalities of the heart, kidneys, and teeth.",Genitopatellar syndrome is a rare condition that affects the development of the genitals and the knees. The condition is characterized by a lack of development of the external genitals (hypogenitalism) and a lack of development of the kneecaps (patellae). The condition is caused by a mutation in the SOX9 gene.
Answer this question truthfully,What is (are) Juvenile Arthritis ?,"Juvenile arthritis (JA) is arthritis that happens in children. It causes joint swelling, pain, stiffness, and loss of motion. It can affect any joint, but is more common in the knees, hands, and feet. In some cases it can affect internal organs as well.    The most common type of JA that children get is juvenile idiopathic arthritis. There are several other forms of arthritis affecting children.    One early sign of JA may be limping in the morning. Symptoms can come and go. Some children have just one or two flare-ups. Others have symptoms that never go away. JA can cause growth problems and eye inflammation in some children.    No one knows exactly what causes JA. Most types are autoimmune disorders. This means that your immune system, which normally helps your body fight infection, attacks your body's own tissues.    JA can be hard to diagnose. Your health care provider may do a physical exam, lab tests, and x-rays. A team of providers usually treats JA. Medicines and physical therapy can help maintain movement and reduce swelling and pain. They may also help prevent and treat complications.    NIH: National Institute of Arthritis and Musculoskeletal and Skin Diseases","Juvenile arthritis is a group of diseases that cause joint pain and swelling in children. It is also called juvenile idiopathic arthritis (JIA). The term ""idiopathic"" means that the cause of the disease is unknown. Juvenile arthritis is the most common type of arthritis in children. It can affect children of any age, but it usually begins before age 16. The most common age of onset is between 1 and 3 years. Juvenile arthritis can affect one or more joints. It can also affect other parts of the body, such as the eyes, skin, and heart. There are several types of juvenile arthritis, and each type has its own symptoms and treatment. The most common type is oligoarticular JIA, which affects fewer than five joints. The next most common type is polyarticular JIA, which affects five or more joints. Other types of juvenile arthritis include systemic JIA, psoriatic arthritis, and enthesitis-related arthritis. The symptoms of juvenile arthritis can vary depending on the type of arthritis. However, the most common symptoms are joint pain and swelling. Other symptoms may include fever, fatigue, and weight loss. The cause of juvenile arthritis is unknown. However, it is thought to be an autoimmune disease. This means that"
Answer this question truthfully,What is (are) Klippel-Trenaunay Syndrome (KTS) ?,"Klippel-Trenaunay syndrome (KTS) is a rare congenital malformation involving blood and lymph vessels and abnormal growth of soft and bone tissue. Typical symptoms include hemangiomas (abnormal benign growths on the skin consisting of masses of blood vessels) and varicose veins. Fused toes or fingers, or extra toes or fingers, may be present. In some cases, internal bleeding may occur as a result of blood vessel malformations involving organs such as the stomach, rectum, vagina, liver, spleen, bladder, kidneys, lungs, or heart. Individuals are also at risk for blood clots. The cause of the disorder is unknown. A similar port-wine stain disorder in which individuals have vascular anomalies on the face as well as in the brain is Sturge-Weber syndrome. These individuals may experience seizures and mental deficiency. In some cases, features of the Klippel-Trenaunay syndrome and Sturge-Weber syndrome coincide. Another overlapping condition is the Parkes-Weber syndrome, which is characterized by abnormal connectivity between the arterial and venous system (arteriovenous fistulas).","Klippel-Trenaunay syndrome (KTS) is a rare condition that causes abnormal development of blood vessels, bones, and soft tissues in one or more limbs. The condition is characterized by a large, discolored area of skin (port-wine stain) on the affected limb, a large limb (lymphedema), and an increased number of blood vessels (venous malformations) in the affected limb. KTS is caused by a mutation in the RASA1 gene. The condition is usually diagnosed in childhood and can be treated with surgery, radiation therapy, or other therapies."
Answer this question truthfully,What is (are) familial pityriasis rubra pilaris ?,"Familial pityriasis rubra pilaris is a rare genetic condition that affects the skin. The name of the condition reflects its major features: The term ""pityriasis"" refers to scaling; ""rubra"" means redness; and ""pilaris"" suggests the involvement of hair follicles in this disorder. Affected individuals have a salmon-colored skin rash covered in fine scales. This rash occurs in patches all over the body, with distinct areas of unaffected skin between the patches. Affected individuals also develop bumps called follicular keratoses that occur around hair follicles. The skin on the palms of the hands and soles of the feet often becomes thick, hard, and callused, a condition known as palmoplantar keratoderma.  Researchers have distinguished six types of pityriasis rubra pilaris based on the features of the disorder and the age at which signs and symptoms appear. The familial form is usually considered part of type V, which is also known as the atypical juvenile type. People with familial pityriasis rubra pilaris typically have skin abnormalities from birth or early childhood, and these skin problems persist throughout life.","Familial pityriasis rubra pilaris is a rare skin condition that is characterized by red, scaly patches on the skin. The patches are most commonly found on the elbows, knees, and scalp. The condition is usually inherited in an autosomal dominant pattern, which means that one copy of the altered gene in each cell is sufficient to cause the disorder."
Answer this question truthfully,What is (are) Frostbite ?,"Frostbite is an injury to the body that is caused by freezing. It most often affects the nose, ears, cheeks, chin, fingers, or toes. Frostbite can permanently damage the body, and severe cases can lead to amputation.    Signs of frostbite include       - A white or grayish-yellow skin area    - Skin that feels unusually firm or waxy    - Numbness       If you have symptoms of frostbite, seek medical care. But if immediate medical care isn't available, here are steps to take:       - Get into a warm room as soon as possible.    - Unless absolutely necessary, do not walk on frostbitten feet or toes. Walking increases the damage.    - Put the affected area in warm - not hot - water.    - You can also warm the affected area using body heat. For example, use your armpit to warm frostbitten fingers.     - Don't rub the frostbitten area with snow or massage it at all. This can cause more damage.     - Don't use a heating pad, heat lamp, or the heat of a stove, fireplace, or radiator for warming. Since frostbite makes an area numb, you could burn it.       Centers for Disease Control and Prevention","Frostbite is a condition in which the skin and underlying tissues freeze. It can occur in any part of the body, but it most often affects the fingers, toes, nose, and ears. Frostbite can be mild or severe. Mild frostbite causes numbness and a tingling sensation. Severe frostbite can cause permanent damage to the skin and underlying tissues. Frostbite is most common in cold climates, but it can also occur in warm climates if the body is exposed to very cold temperatures. Frostbite is a medical emergency. If you think you or someone else has frostbite, seek medical attention immediately."
Answer this question truthfully,What is (are) oculodentodigital dysplasia ?,"Oculodentodigital dysplasia is a condition that affects many parts of the body, particularly the eyes (oculo-), teeth (dento-), and fingers (digital). Common features in people with this condition are small eyes (microphthalmia) and other eye abnormalities that can lead to vision loss. Affected individuals also frequently have tooth abnormalities, such as small or missing teeth, weak enamel, multiple cavities, and early tooth loss. Other common features of this condition include a thin nose and webbing of the skin (syndactyly) between the fourth and fifth fingers.  Less common features of oculodentodigital dysplasia include sparse hair growth (hypotrichosis), brittle nails, an unusual curvature of the fingers (camptodactyly), syndactyly of the toes, small head size (microcephaly), and an opening in the roof of the mouth (cleft palate). Some affected individuals experience neurological problems such as a lack of bladder or bowel control, difficulty coordinating movements (ataxia), abnormal muscle stiffness (spasticity), hearing loss, and impaired speech (dysarthria). A few people with oculodentodigital dysplasia also have a skin condition called palmoplantar keratoderma. Palmoplantar keratoderma causes the skin on the palms and the soles of the feet to become thick, scaly, and calloused.  Some features of oculodentodigital dysplasia are evident at birth, while others become apparent with age.","Oculodentodigital dysplasia is a rare genetic disorder that affects the eyes, teeth, and bones. It is characterized by abnormalities of the eyes, including cataracts, glaucoma, and abnormalities of the cornea and iris. The teeth are also affected, with abnormalities such as missing teeth, small teeth, and malformed teeth. The bones are also affected, with abnormalities such as short stature, short fingers and toes, and abnormalities of the skull and spine. The disorder is caused by mutations in the GJA1 gene, which provides instructions for making a protein called connexin 43. This protein is involved in the formation of gap junctions, which are channels that allow communication between cells. Mutations in the GJA1 gene disrupt the function of gap junctions, leading to the characteristic features of oculodentodigital dysplasia."
Answer this question truthfully,What is (are) Thanatophoric dysplasia ?,"Thanatophoric dysplasia is a severe skeletal disorder characterized by extremely short limbs and folds of extra skin on the arms and legs. Other features of this condition include a narrow chest, short ribs, underdeveloped lungs, and an enlarged head with a large forehead and prominent, wide-spaced eyes. Most infants with thanatophoric dysplasia are stillborn or die shortly after birth from respiratory failure. A few affected individuals have survived into childhood with extensive medical help. Thanatophoric dysplasia is caused by mutations in the FGFR3 gene. While this condition is considered to be autosomal dominant, virtually all cases have occurred in people with no history of the disorder in their family. Two major forms of thanatophoric dysplasia have been described, type I and type II. Type I thanatophoric dysplasia is distinguished by the presence of curved thigh bones and flattened bones of the spine (platyspondyly). Type II thanatophoric dysplasia is characterized by straight thigh bones and a moderate to severe skull abnormality called a cloverleaf skull.","Thanatophoric dysplasia is a genetic disorder that affects the development of bones and cartilage. It is characterized by short limbs, a small chest, and a large head. The disorder is caused by mutations in the FGFR3 gene, which is responsible for regulating bone growth. Thanatophoric dysplasia is a severe condition that is often fatal in the first few days or weeks of life."
Answer this question truthfully,What is (are) Intraocular (Uveal) Melanoma ?,"Key Points
                    - Intraocular melanoma is a disease in which malignant (cancer) cells form in the tissues of the eye.    - Being older and having fair skin may increase the risk of intraocular melanoma.    - Signs of intraocular melanoma include blurred vision or a dark spot on the iris.     - Tests that examine the eye are used to help detect (find) and diagnose intraocular melanoma.    - A biopsy of the tumor is rarely needed to diagnose intraocular melanoma.    - Certain factors affect prognosis (chance of recovery) and treatment options.
                
                
                    Intraocular melanoma is a disease in which malignant (cancer) cells form in the tissues of the eye.
                    Intraocular melanoma begins in the middle of three layers of the wall of the eye. The outer layer includes the white sclera (the ""white of the eye"") and the clear cornea at the front of the eye. The inner layer has a lining of nerve tissue, called the retina, which senses light and sends images along the optic nerve to the brain.   The middle layer, where intraocular melanoma forms, is called the uvea or uveal tract, and has three main parts:         -  Iris  The iris is the colored area at the front of the eye (the ""eye color""). It can be seen through the clear cornea. The pupil is in the center of the iris and it changes size to let more or less light into the eye. Intraocular melanoma of the iris is usually a small tumor that grows slowly and rarely spreads to other parts of the body.    -  Ciliary body  The ciliary body is a ring of tissue with muscle fibers that change the size of the pupil and the shape of the lens. It is found behind the iris. Changes in the shape of the lens help the eye focus. The ciliary body also makes the clear fluid that fills the space between the cornea and the iris. Intraocular melanoma of the ciliary body is often larger and more likely to spread to other parts of the body than intraocular melanoma of the iris.      -  Choroid  The choroid is a layer of blood vessels that bring oxygen and nutrients to the eye. Most intraocular melanomas begin in the choroid. Intraocular melanoma of the choroid is often larger and more likely to spread to other parts of the body than intraocular melanoma of the iris.          Intraocular melanoma is a rare cancer that forms from cells that make melanin in the iris, ciliary body, and choroid. It is the most common eye cancer in adults.","Intraocular (uveal) melanoma is a cancer that begins in the eye. It is a rare cancer that usually affects adults. It is more common in people with light-colored eyes. Intraocular melanoma is a type of melanoma. Melanoma is a cancer that begins in the cells that make pigment (color) in the skin. Intraocular melanoma is also called uveal melanoma. The uvea is the middle layer of the eye. It includes the iris, the colored part of the eye, the choroid, the layer of blood vessels behind the iris, and the ciliary body, which makes fluid for the eye. Intraocular melanoma is the most common type of eye cancer in adults. It is the second most common type of eye cancer in children."
Answer this question truthfully,What is (are) succinic semialdehyde dehydrogenase deficiency ?,"Succinic semialdehyde dehydrogenase deficiency is a disorder that can cause a variety of neurological problems. People with this condition typically have developmental delay, especially involving speech development; intellectual disability; and decreased muscle tone (hypotonia) soon after birth. About half of those affected experience seizures, difficulty coordinating movements (ataxia), decreased reflexes (hyporeflexia), and behavioral problems. The most common behavioral problems associated with this condition are sleep disturbances, hyperactivity, difficulty maintaining attention, and anxiety. Less frequently, affected individuals may have increased aggression, hallucinations, obsessive-compulsive disorder (OCD), and self-injurious behavior, including biting and head banging. People with this condition can also have problems controlling eye movements. Less common features of succinic semialdehyde dehydrogenase deficiency include uncontrollable movements of the limbs (choreoathetosis), involuntary tensing of the muscles (dystonia), muscle twitches (myoclonus), and a progressive worsening of ataxia.","Succinic semialdehyde dehydrogenase deficiency is a rare disorder that affects the nervous system. It is characterized by seizures, developmental delay, and intellectual disability. People with this condition may also have behavioral problems, such as aggression, hyperactivity, and impulsivity. The severity of symptoms varies widely among affected individuals. Some people with succinic semialdehyde dehydrogenase deficiency have mild symptoms, while others have severe symptoms that affect their ability to function independently. There is no cure for succinic semialdehyde dehydrogenase deficiency, but treatment can help manage symptoms."
Answer this question truthfully,What is (are) Beriberi ?,"Beriberi is a condition that occurs in people who are deficient in thiamine (vitamin B1). There are two major types of beriberi: wet beriberi which affects the cardiovascular system and dry beriberi which affects the nervous system. People with wet beriberi may experience increased heart rate, shortness of breath, and swelling of the lower legs. Signs and symptoms of dry beriberi include difficulty walking; loss of feeling in the hands and/or feet; paralysis of the lower legs; mental confusion; speech difficulty; pain; and/or vomiting. Beriberi is rare in the United States since many foods are now vitamin enriched; however, alcohol abuse, dialysis and taking high doses of diuretics increases the risk of developing the condition. In most cases, beriberi occurs sporadically in people with no family history of the condition. A rare condition known as genetic beriberi is inherited (passed down through families) and is associated with an inability to absorb thiamine from foods. Treatment generally includes thiamine supplementation, given by injection or taken by mouth.","Beriberi is a disease caused by a lack of thiamine (vitamin B1). It is characterized by weakness, loss of appetite, and abnormal heart action. Beriberi is most common in people who eat a diet consisting mainly of polished rice."
Answer this question truthfully,What is (are) gyrate atrophy of the choroid and retina ?,"Gyrate atrophy of the choroid and retina, which is often shortened to gyrate atrophy, is an inherited disorder characterized by progressive vision loss. People with this disorder have an ongoing loss of cells (atrophy) in the retina, which is the specialized light-sensitive tissue that lines the back of the eye, and in a nearby tissue layer called the choroid. During childhood, they begin experiencing nearsightedness (myopia), difficulty seeing in low light (night blindness), and loss of side (peripheral) vision. Over time, their field of vision continues to narrow, resulting in tunnel vision. Many people with gyrate atrophy also develop clouding of the lens of the eyes (cataracts). These progressive vision changes lead to blindness by about the age of 50.  Most people with gyrate atrophy have no symptoms other than vision loss, but some have additional features of the disorder. Occasionally, newborns with gyrate atrophy develop excess ammonia in the blood (hyperammonemia), which may lead to poor feeding, vomiting, seizures, or coma. Neonatal hyperammonemia associated with gyrate atrophy generally responds quickly to treatment and does not recur after the newborn period.  Gyrate atrophy usually does not affect intelligence; however, abnormalities may be observed in brain imaging or other neurological testing. In some cases, mild to moderate intellectual disability is associated with gyrate atrophy.  Gyrate atrophy may also cause disturbances in the nerves connecting the brain and spinal cord to muscles and sensory cells (peripheral nervous system). In some people with the disorder these abnormalities lead to numbness, tingling, or pain in the hands or feet, while in others they are detectable only by electrical testing of the nerve impulses.  In some people with gyrate atrophy, a particular type of muscle fibers (type II fibers) break down over time. While this muscle abnormality usually causes no symptoms, it may result in mild weakness.","Gyrate atrophy of the choroid and retina is a rare inherited disorder that causes progressive vision loss. The condition is characterized by a gradual loss of the light-sensitive cells (photoreceptors) in the retina, the light-sensitive tissue at the back of the eye. The retina is responsible for converting light into electrical signals that are sent to the brain. The loss of photoreceptors leads to a gradual loss of vision. In gyrate atrophy, the loss of photoreceptors is most severe in the central part of the retina (the macula), which is responsible for sharp, central vision. As a result, people with this condition have difficulty seeing fine details and may have trouble reading and recognizing faces. The condition is also characterized by a progressive loss of the choroid, the layer of blood vessels that supplies the retina with oxygen and nutrients. The loss of the choroid leads to a gradual thinning of the retina, which can cause vision loss. Gyrate atrophy is caused by mutations in the ornithine aminotransferase (OAT) gene. This gene provides instructions for making an enzyme called ornithine aminotransferase, which is involved in the breakdown of proteins. Mutations in the OAT gene lead to a deficiency of ornithine aminotransferase, which disrupts the breakdown of"
Answer this question truthfully,What is (are) Shoulder Injuries and Disorders ?,"Your shoulder joint is composed of three bones: the clavicle (collarbone), the scapula (shoulder blade), and the humerus (upper arm bone). Your shoulders are the most movable joints in your body. They can also be unstable because the ball of the upper arm is larger than the shoulder socket that holds it. To remain in a stable or normal position, the shoulder must be anchored by muscles, tendons and ligaments. Because the shoulder can be unstable, it is the site of many common problems. They include sprains, strains, dislocations, separations, tendinitis, bursitis, torn rotator cuffs, frozen shoulder, fractures and arthritis.     Usually shoulder problems are treated with RICE. This stands for Rest, Ice, Compression and Elevation. Other treatments include exercise, medicines to reduce pain and swelling, and surgery if other treatments don't work.    NIH: National Institute of Arthritis and Musculoskeletal and Skin Diseases","The shoulder is a ball-and-socket joint. The ball is the head of the upper arm bone (humerus). The socket is the shoulder blade (scapula). The shoulder is the most mobile joint in the body. It is also the most unstable. The shoulder is held together by muscles, tendons, and ligaments. The shoulder is covered by a joint capsule. The capsule is lined with a smooth membrane called the synovium. The synovium produces synovial fluid, which lubricates the joint. The shoulder is also covered by a layer of tissue called the rotator cuff. The rotator cuff is made up of four muscles and their tendons. The rotator cuff helps to stabilize the shoulder joint."
Answer this question truthfully,What is (are) methylmalonic acidemia ?,"Methylmalonic acidemia is an inherited disorder in which the body is unable to process certain proteins and fats (lipids) properly. The effects of methylmalonic acidemia, which usually appear in early infancy, vary from mild to life-threatening. Affected infants can experience vomiting, dehydration, weak muscle tone (hypotonia), developmental delay, excessive tiredness (lethargy), an enlarged liver (hepatomegaly), and failure to gain weight and grow at the expected rate (failure to thrive). Long-term complications can include feeding problems, intellectual disability, chronic kidney disease, and inflammation of the pancreas (pancreatitis). Without treatment, this disorder can lead to coma and death in some cases.","Methylmalonic acidemia is a disorder that affects the body's ability to break down certain proteins and fats. This disorder is caused by a deficiency of an enzyme called methylmalonyl-CoA mutase. This enzyme is needed to convert a substance called methylmalonyl-CoA to succinyl-CoA, which is a molecule that is used to make energy. Without this enzyme, methylmalonyl-CoA builds up in the body and is converted to methylmalonic acid. Methylmalonic acid is toxic to the body and can cause serious health problems. Symptoms of methylmalonic acidemia can include vomiting, lethargy, seizures, and coma. Treatment for this disorder typically involves a low-protein diet and supplementation with vitamins and minerals."
Answer this question truthfully,What is (are) Glycogen storage disease type 7 ?,"Glycogen storage disease type 7 (GSD7) is an inherited condition in which the body is unable to break down glycogen (a complex sugar) in the muscle cells. Because glycogen is an important source of energy, this can interfere with the normal functioning of muscle cells. The severity of the condition and the associated signs and symptoms vary, but may include muscle weakness and stiffness; painful muscle cramps; nausea and vomiting; and/or myoglobinuria (the presence of myoglobin in the urine) following moderate to strenuous exercise. Symptoms typically resolve with rest. GSD7 is most commonly diagnosed during childhood; however, some affected people may rarely develop symptoms during infancy or later in adulthood. Those who develop the condition during infancy may experience additional symptoms such as hypotonia (poor muscle tone), cardiomyopathy and breathing difficulties that often lead to a shortened lifespan (less than 1 year). This condition is caused by changes (mutations) in the PFKM gene and is inherited in an autosomal recessive manner. There is no specific treatment for GSD7; however, affected people are generally advised to avoid vigorous exercise and high-carbohydrate meals.","Glycogen storage disease type 7 (GSD7) is a rare disorder that affects the liver and muscles. It is caused by a deficiency of the enzyme glycogen phosphorylase, which is needed to break down glycogen, a storage form of glucose. GSD7 is characterized by low blood sugar levels (hypoglycemia), muscle weakness, and an enlarged liver. Symptoms typically appear in infancy or early childhood. Treatment for GSD7 includes a diet high in carbohydrates and frequent feedings to prevent hypoglycemia."
Answer this question truthfully,What is (are) Cogan-Reese syndrome ?,"Cogan-Reese syndrome is one type of Iridocorneal Endothelial (ICE) syndrome. The ICE syndromes predominantly affect Caucasian, young to middle-aged women, and involve one eye. While there have been some cases of Cogan-Reese syndrome reported in children, the disease is typically observed in females in the mid-adult years. [1] In one study of 71 patients with ICE syndrome, the mean age at diagnosis was 51-years. Known glaucoma was present in 11 (15%) of cases. [2] While it is not yet known how to keep Cogan-Reese syndrome from progressing, the glaucoma associated with the disease can be treated with medication. Additionally, corneal transplant can treat any corneal swelling. The National Eye Institute provides information on screening for glaucoma HERE.","Cogan-Reese syndrome is a rare condition that causes the cornea to become cloudy and the eye to bulge forward. The cornea is the clear, dome-shaped surface that covers the front of the eye. The cornea is the part of the eye that helps focus light onto the retina, the light-sensitive tissue at the back of the eye. The cornea is normally clear, but in people with Cogan-Reese syndrome, the cornea becomes cloudy and the eye bulges forward. The condition is usually present at birth, but it can also develop in childhood or adulthood. Cogan-Reese syndrome is caused by a mutation in the COL8A2 gene. This gene provides instructions for making a protein called collagen type VIII alpha-2 chain. Collagen is a protein that forms the main structural component of connective tissue, which is the tissue that supports and connects other tissues and organs in the body. Collagen type VIII alpha-2 chain is found in the cornea and other tissues. Mutations in the COL8A2 gene prevent the production of collagen type VIII alpha-2 chain, which leads to the development of Cogan-Reese syndrome."
